SiteID,Lat,Lon,FileName,BenUse,NameOrig
SFM32,37.86839,-91.623,SFM32.xml,Y,sfm032
SFM33,37.83419,-90.87719,SFM33.xml,Y,sfm033
SFM34,37.68261,-89.85881,SFM34.xml,N,sfm034
SFM36,38.01639,-89.42581,SFM36.xml,Y,sfm036
SFM37,37.28911,-91.74139,SFM37.xml,Y,sfm037
SFM38,37.31119,-91.052,SFM38.xml,N,sfm038
SFM40,36.95269,-91.4795,SFM40.xml,N,sfm040
SFM41,36.95031,-90.693,SFM41.xml,Y,sfm041
SFM43,36.76369,-92.1695,SFM43.xml,N,sfm043
SFM44,36.74131,-91.08881,SFM44.xml,Y,sfm044
SFM45,36.527,-90.399,SFM45.xml,Y,sfm045
SFM46,37.58019,-91.2855,SFM46.xml,Y,sfm046
SFM47,37.45819,-90.62081,SFM47.xml,Y,sfm047
SFM49,37.62589,-92.04931,SFM49.xml,N,sfm049
SFM50,37.61561,-90.93739,SFM50.xml,Y,sfm050
SFM51,37.17261,-90.84861,SFM51.xml,Y,sfm051
SFM52,37.6665,-90.45811,SFM52.xml,N,sfm052
SFM53,37.79919,-90.50589,SFM53.xml,Y,sfm053
SFM54,38.27489,-90.66739,SFM54.xml,Y,sfm054
SFM55,37.17881,-91.18531,SFM55.xml,Y,sfm055
SFM56,38.01889,-90.52061,SFM56.xml,Y,sfm056
SFM57,37.14539,-89.93111,SFM57.xml,Y,sfm057
